ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,background,⟶,1,2,S,3,3,N,,1,evaluation-n,⟶,1,2,S,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
2,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,4-6,solutionhood,⟵,4,18,S,1,3,N,,,,,,,,,,,,No matching,,,,,,
4,,,,,,,,,,,,3,cause,⟶,1,3,S,4,5,N,,No matching,,,,,,
5,,5,purpose,⟵,5,5,S,4,4,N,,5,purpose,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,6,e-elaboration,⟵,6,6,S,4,5,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,4-5,motivation,⟶,1,5,S,6,6,N,,No matching,,,,,,
8,,7-17,reason,⟵,7,18,S,4,6,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,7-9,motivation,⟵,7,14,S,1,6,N,,No matching,,,,,,
10,,8-9,e-elaboration,⟵,8,17,S,7,7,N,,8-9,elaboration,⟵,8,9,S,7,7,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
11,,10-17,e-elaboration,⟵,10,17,S,8,9,N,,,,,,,,,,,,No matching,,,,,,
12,,,,,,,,,,,,10-12,evidence,⟵,10,14,S,7,9,N,,No matching,,,,,,
13,,11,e-elaboration,⟵,11,11,S,10,10,N,,11,elaboration,⟵,11,11,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
14,,13-14,e-elaboration,⟵,13,14,S,12,12,N,,13-14,elaboration,⟵,13,14,S,10,12,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
15,,15-17,e-elaboration,⟵,15,17,S,12,14,N,,15-17,evaluation-s,⟵,15,17,S,1,14,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
16,,16,enablement,⟶,16,16,S,17,17,N,,16,elaboration,⟵,16,16,S,15,15,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
17,,18,summary,⟵,18,18,S,7,17,N,,18,background,⟵,18,18,S,1,17,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
18,,8|9,sequence,⟷,8,8,N,9,9,N,,8|9,sequence,⟷,8,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
19,,10|12-14,sameunit,⟷,10,11,N,12,17,N,,10|12,sameunit,⟷,10,11,N,12,12,N,,Partially identical CS,✓,✓,✓,✗,NRC,
20,,13|14,sequence,⟷,13,13,N,14,14,N,,13|14,sequence,⟷,13,13,N,14,14,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
21,,15|17,sameunit,⟷,15,15,N,16,17,N,,15|17,sequence,⟷,15,16,N,17,17,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
