ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-3,background,⟶,1,3,S,4,5,N,,1-3,background,⟶,1,5,S,6,9,N,,Completely identical CS,✓,✓,✗,✗,NR,
2,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,4,circumstance,⟶,4,4,S,5,5,N,,4,background,⟵,4,5,S,1,3,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
4,,4-5,background,⟶,1,5,S,6,9,N,,,,,,,,,,,,No matching,,,,,,
5,,,,,,,,,,,,5,elaboration,⟵,5,5,S,4,4,N,,No matching,,,,,,
6,,6-9,background,⟶,1,9,S,10,13,N,,6-9,evaluation-n,⟶,1,9,S,10,13,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,7-9,elaboration,⟵,7,9,S,6,6,N,,6,background,⟶,6,6,S,7,9,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
8,,12,attribution,⟶,12,12,S,13,13,N,,12,preparation,⟶,12,12,S,13,13,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,1|3,sameunit,⟷,1,2,N,3,3,N,,1|3,sequence,⟷,1,2,N,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
10,,7|8|9,conjunction,⟷,7,7,N,8,9,N,,7|8|9,list,⟷,7,7,N,8,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,8|9,conjunction,⟷,8,8,N,9,9,N,,8|9,list,⟷,8,8,N,9,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
12,,10|11|13,list,⟷,10,10,N,11,13,N,,10,reason,⟶,10,10,S,11,11,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
13,,11|13,list,⟷,11,11,N,12,13,N,,11,background,⟶,10,11,S,12,13,N,,Partially identical CS,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
