ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-6,background,⟶,1,6,S,7,15,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,4-5,antithesis,⟶,4,5,S,6,6,N,,No matching,,,,,,
3,,2,background,⟵,2,2,S,1,1,N,,2,concession,⟶,2,2,S,3,6,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
4,,5,antithesis,⟶,5,5,S,6,6,N,,4|5,conjunction,⟷,4,4,N,5,5,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
5,,8,antithesis,⟶,8,8,S,9,9,N,,8|9,list,⟷,8,8,N,9,9,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
6,,8-9,elaboration,⟵,8,10,S,7,7,N,,8-9,elaboration,⟵,8,9,S,7,7,N,,Completely identical CS,✓,✓,✗,✓,NRA,
7,,10,elaboration,⟵,10,10,S,8,9,N,,10,elaboration,⟵,10,10,S,7,9,N,,Completely identical CS,✓,✓,✓,✗,NRC,
8,,13,elaboration,⟵,13,13,S,12,12,N,,13,elaboration,⟵,13,13,S,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
9,,14,result,⟵,14,14,S,12,13,N,,14,result,⟵,14,14,S,11,13,N,,Completely identical CS,✓,✓,✓,✗,NRC,
10,,15,summary,⟵,15,15,S,12,14,N,,15,evaluation-s,⟵,15,15,S,1,14,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
11,,1|3,contrast,⟷,1,2,N,3,3,N,,1,reason-n,⟶,1,1,S,2,6,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
12,,1-3|4-6,joint,⟷,1,3,N,4,6,N,,,,,,,,,,,,No matching,,,,,,
13,,,,,,,,,,,,2-6,background,⟶,1,6,S,7,14,N,,No matching,,,,,,
14,,4|6,conjunction,⟷,4,4,N,5,6,N,,3|6,list,⟷,3,3,N,4,6,N,,Partially identical CS,✓,✗,✗,✗,N,≠R
15,,7|11,contrast,⟷,7,10,N,11,11,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,11-13,elaboration,⟵,11,14,S,7,10,N,,No matching,,,,,,
17,,7-11|12-14,joint,⟷,7,11,N,12,15,N,,,,,,,,,,,,No matching,,,,,,
18,,,,,,,,,,,,12,elaboration,⟵,12,13,S,11,11,N,,No matching,,,,,,
