ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2-12,elaboration,⟵,2,12,S,1,1,N,,2-12,evidence,⟵,2,12,S,1,1,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
2,,4,elaboration,⟵,4,4,S,3,3,N,,4,purpose,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,8,attribution,⟶,8,8,S,9,9,N,,8,attribution,⟶,8,8,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,11,elaboration,⟵,11,11,S,10,10,N,,11,purpose,⟵,11,11,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
5,,2|3|5-6|7-9|10|12,list,⟷,2,2,N,3,12,N,,2|3|5-6|7-12,list,⟷,2,2,N,3,12,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
6,,3|5-6|7-9|10|12,list,⟷,3,4,N,5,12,N,,3|5-6|7-12,list,⟷,3,4,N,5,12,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
7,,5|6,conjunction,⟷,5,5,N,6,6,N,,5|6,conjunction,⟷,5,5,N,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,5-6|7-9|10|12,list,⟷,5,6,N,7,12,N,,5-6|7-12,list,⟷,5,6,N,7,12,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
9,,7|9,sameunit,⟷,7,7,N,8,9,N,,7|9,sameunit,⟷,7,7,N,8,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,7-9|10|12,list,⟷,7,9,N,10,12,N,,7-9|10|12,list,⟷,7,9,N,10,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
11,,10|12,list,⟷,10,11,N,12,12,N,,10|12,list,⟷,10,11,N,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
