ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-6,background,⟶,1,10,S,11,24,N,,1-6|11-15,list,⟷,1,10,N,11,15,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
2,,2,result,⟵,2,2,S,1,1,N,,2,elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,4,e-elaboration,⟵,4,4,S,3,3,N,,4,e-elaboration,⟵,4,5,S,3,3,N,,Completely identical CS,✓,✓,✗,✓,NRA,
4,,5,e-elaboration,⟵,5,5,S,3,4,N,,5,e-elaboration,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✓,✓,✗,NRC,
5,,7,antithesis,⟶,7,8,S,9,10,N,,7,antithesis,⟶,7,8,S,9,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,8,restatement,⟵,8,8,S,7,7,N,,8,elaboration,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,9-10,interpretation,⟵,7,10,S,1,6,N,,9-10,elaboration,⟵,7,10,S,1,6,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
8,,10,purpose,⟵,10,10,S,9,9,N,,10,purpose,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
9,,11-15,justify,⟶,11,15,S,16,24,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,1-15,cause,⟶,1,15,S,16,17,N,,No matching,,,,,,
11,,12,attribution,⟶,12,12,S,13,15,N,,12,attribution,⟶,12,12,S,13,14,N,,Completely identical CS,✓,✓,✓,✗,NRC,
12,,14,e-elaboration,⟵,14,14,S,13,13,N,,14,e-elaboration,⟵,14,14,S,13,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,16-17,reason,⟶,16,17,S,18,24,N,,16-17|21-24,joint,⟷,1,17,N,18,24,N,,Partially identical CS,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
14,,18-20,background,⟶,18,20,S,21,24,N,,18-20,reason,⟶,18,20,S,21,24,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
15,,19,e-elaboration,⟵,19,19,S,18,18,N,,19,e-elaboration,⟵,19,19,S,18,18,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
16,,1|3-4|6,list,⟷,1,2,N,3,6,N,,1|3|6,list,⟷,1,2,N,3,6,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
17,,3-4|6,list,⟷,3,5,N,6,6,N,,3|6,list,⟷,3,5,N,6,6,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
18,,11|13-15,sameunit,⟷,11,11,N,12,15,N,,11|13-14|15,sameunit,⟷,11,11,N,12,15,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
19,,13|15,sameunit,⟷,13,14,N,15,15,N,,13-14|15,sameunit,⟷,12,14,N,15,15,N,,Partially identical CS,✓,✓,✗,✓,NRA,
20,,16|17,conjunction,⟷,16,16,N,17,17,N,,16|17,conjunction,⟷,16,16,N,17,17,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
21,,18|20,sameunit,⟷,18,19,N,20,20,N,,18|20,sameunit,⟷,18,19,N,20,20,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
22,,21|22,conjunction,⟷,21,21,N,22,22,N,,21|22,conjunction,⟷,21,21,N,22,22,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
23,,21-22|23-24,list,⟷,21,22,N,23,24,N,,21-22|23-24,list,⟷,21,22,N,23,24,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
24,,23|24,conjunction,⟷,23,23,N,24,24,N,,23|24,conjunction,⟷,23,23,N,24,24,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
