ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,elaboration,⟵,2,2,S,1,1,N,,2,elaboration,⟵,2,5,S,1,1,N,,Completely identical CS,✓,✓,✗,✓,NRA,
2,,3-5,elaboration,⟵,3,5,S,1,2,N,,3-5,elaboration,⟵,3,5,S,2,2,N,,Completely identical CS,✓,✓,✓,✗,NRC,
3,,4,attribution,⟵,4,4,S,3,3,N,,4,attribution,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,6,circumstance,⟵,6,6,S,1,5,N,,1|6,list,⟷,1,5,N,6,6,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
5,,7,result,⟵,7,8,S,1,6,N,,,,,,,,,,,,No matching,,,,,,
6,,,,,,,,,,,,7-8,elaboration,⟵,7,12,S,1,6,N,,No matching,,,,,,
7,,8,evidence,⟵,8,8,S,7,7,N,,7|8,list,⟷,7,7,N,8,8,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
8,,9-11,elaboration,⟵,9,12,S,1,8,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,9-12,elaboration,⟵,9,12,S,7,8,N,,No matching,,,,,,
10,,12,circumstance,⟵,12,12,S,9,11,N,,9-11|12,list,⟷,9,11,N,12,12,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
11,,3|5,list,⟷,3,4,N,5,5,N,,3|5,list,⟷,3,4,N,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,9|10,contrast,⟷,9,9,N,10,10,N,,9|10|11,contrast,⟷,9,9,N,10,11,N,,Partially identical CS,✓,✓,✓,✗,NRC,
13,,9-10|11,contrast,⟷,9,10,N,11,11,N,,10|11,contrast,⟷,10,10,N,11,11,N,,Partially identical CS,✓,✓,✗,✓,NRA,
