ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2-3,e-elaboration,⟵,2,6,S,1,1,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,2,e-elaboration,⟵,2,3,S,1,1,N,,No matching,,,,,,
3,,3,e-elaboration,⟵,3,3,S,2,2,N,,3,e-elaboration,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,4-5,elaboration,⟵,4,6,S,2,3,N,,4-5,e-elaboration,⟵,4,6,S,1,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
5,,6,attribution,⟵,6,6,S,4,5,N,,6,attribution,⟵,6,6,S,4,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,7,concession,⟵,7,8,S,1,6,N,,7-8,concession,⟵,7,8,S,1,6,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
7,,8,e-elaboration,⟵,8,8,S,7,7,N,,7|8,list,⟷,7,7,N,8,8,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
8,,9-16,background,⟵,9,16,S,1,8,N,,9-16,elaboration,⟵,9,16,S,1,8,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,10,elaboration,⟵,10,10,S,9,9,N,,9|10,list,⟷,9,9,N,10,10,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
10,,11,attribution,⟵,11,11,S,9,10,N,,11,attribution,⟵,11,11,S,9,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
11,,13,attribution,⟵,13,13,S,12,12,N,,13,attribution,⟵,13,13,S,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,15,e-elaboration,⟵,15,16,S,14,14,N,,15-16,e-elaboration,⟵,15,16,S,14,14,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
13,,16,background,⟵,16,16,S,15,15,N,,15|16,sequence,⟷,15,15,N,16,16,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
14,,4|5,list,⟷,4,4,N,5,5,N,,4|5,list,⟷,4,4,N,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,9-10|12|14,list,⟷,9,11,N,12,16,N,,12,elaboration,⟵,12,13,S,9,11,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
16,,12|14,list,⟷,12,13,N,14,16,N,,9-11|14,conjunction,⟷,9,13,N,14,16,N,,Partially identical CS,✓,✗,✗,✓,NA,≠R
