ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,interpretation,⟶,1,1,S,2,6,N,,1,preparation,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
2,,2-6,background,⟶,1,6,S,7,13,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,7-12,elaboration,⟵,7,13,S,4,6,N,,No matching,,,,,,
4,,3,reason,⟵,3,3,S,2,2,N,,3,reason,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,5-6,purpose,⟵,5,6,S,4,4,N,,5-6,purpose,⟵,5,6,S,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,8,e-elaboration,⟵,8,8,S,7,7,N,,8,attribution,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,11,concession,⟶,11,11,S,12,12,N,,11,concession,⟶,11,11,S,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,13,reason,⟵,13,13,S,11,12,N,,13,evaluation-s,⟵,13,13,S,7,12,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
9,,2|4,list,⟷,2,3,N,4,6,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,12,evaluation-s,⟵,11,12,S,7,10,N,,No matching,,,,,,
11,,5|6,conjunction,⟷,5,5,N,6,6,N,,5|6,conjunction,⟷,5,5,N,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,7|9,sameunit,⟷,7,8,N,9,9,N,,7|9,sameunit,⟷,7,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,7-9|10,conjunction,⟷,7,9,N,10,10,N,,7-9|10,conjunction,⟷,7,9,N,10,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
14,,7-10|11-12,contrast,⟷,7,10,N,11,13,N,,,,,,,,,,,,No matching,,,,,,
15,,,,,,,,,,,,2-3|4-6,list,⟷,1,3,N,4,13,N,,No matching,,,,,,
