ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,concession,⟶,1,1,S,2,3,N,,1,concession,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,1-3,background,⟶,1,5,S,6,10,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,4-5,background,⟶,1,5,S,6,8,N,,No matching,,,,,,
4,,3,condition,⟵,3,3,S,2,2,N,,3,condition,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,4,evaluation-s,⟵,4,5,S,1,3,N,,2-3,solutionhood,⟶,1,3,S,4,5,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
6,,5,condition,⟵,5,5,S,4,4,N,,5,condition,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,7,elaboration,⟵,7,7,S,6,6,N,,7,e-elaboration,⟵,7,7,S,6,6,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
8,,10,result,⟵,10,10,S,9,9,N,,9,cause,⟶,9,9,S,10,10,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
9,,12,reason,⟵,12,12,S,11,11,N,,11,cause,⟶,11,11,S,12,12,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
10,,13,circumstance,⟶,13,13,S,14,14,N,,13,e-elaboration,⟵,13,13,S,11,12,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
11,,14,interpretation,⟵,13,14,S,11,12,N,,,,,,,,,,,,No matching,,,,,,
12,,,,,,,,,,,,6-8,background,⟶,1,8,S,9,10,N,,No matching,,,,,,
13,,6|8-10,sequence,⟷,6,7,N,8,10,N,,6|8,sequence,⟷,6,7,N,8,8,N,,Partially identical CS,✓,✓,✓,✗,NRC,
14,,6-10|11-12,joint,⟷,1,10,N,11,14,N,,9-10,background,⟶,1,10,S,11,14,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
15,,8|9,list,⟷,8,8,N,9,10,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,11-12,reason,⟶,11,13,S,14,14,N,,No matching,,,,,,
