ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,background,⟶,1,1,S,2,11,N,,1|3|4-6,sequence,⟷,1,1,N,2,15,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
2,,2,circumstance,⟶,2,2,S,3,3,N,,2,circumstance,⟶,2,2,S,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
3,,2-6,reason-n,⟶,2,6,S,7,11,N,,,,,,,,,,,,No matching,,,,,,
4,,,,,,,,,,,,7-11,reason,⟵,7,15,S,4,6,N,,No matching,,,,,,
5,,5,reason,⟵,5,5,S,4,4,N,,5,result,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
6,,7,preparation,⟶,7,7,S,8,8,N,,7,preparation,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,9-11,evidence,⟵,9,11,S,7,8,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,9-10,evidence,⟵,9,10,S,7,8,N,,No matching,,,,,,
9,,11,concession,⟵,11,11,S,10,10,N,,11,concession,⟵,11,11,S,7,10,N,,Completely identical CS,✓,✓,✓,✗,NRC,
10,,12-13,solutionhood-n,⟵,12,15,S,1,11,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,12,solutionhood,⟵,12,15,S,7,11,N,,No matching,,,,,,
12,,14-15,circumstance,⟵,14,15,S,12,13,N,,14-15,interpretation,⟵,13,15,S,12,12,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
13,,3|4-6,contrast,⟷,2,3,N,4,6,N,,3|4-6,sequence,⟷,2,3,N,4,15,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
14,,4|6,sameunit,⟷,4,5,N,6,6,N,,4|6,sameunit,⟷,4,5,N,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,9|10,list,⟷,9,9,N,10,11,N,,9|10,list,⟷,9,9,N,10,10,N,,Completely identical CS,✓,✓,✓,✗,NRC,
16,,12|13,conjunction,⟷,12,12,N,13,13,N,,13,concession,⟶,13,13,S,14,15,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
17,,14|15,conjunction,⟷,14,14,N,15,15,N,,14|15,conjunction,⟷,14,14,N,15,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
