ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,circumstance,⟶,2,2,S,3,4,N,,2,elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
2,,3-4,reason,⟵,2,4,S,1,1,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,1,background,⟶,1,2,S,3,4,N,,No matching,,,,,,
4,,4,evaluation-s,⟵,4,4,S,3,3,N,,4,interpretation,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
5,,5,concession,⟶,5,5,S,6,6,N,,5,concession,⟶,5,5,S,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,6,background,⟶,5,6,S,7,12,N,,6,interpretation,⟵,5,6,S,1,4,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
7,,7-12,evaluation-s,⟵,5,12,S,1,4,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,10-12,interpretation,⟵,10,12,S,7,9,N,,No matching,,,,,,
9,,8,reason,⟵,8,8,S,7,7,N,,8,reason,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,10,elaboration,⟵,10,12,S,9,9,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,7-9,interpretation,⟵,7,12,S,1,6,N,,No matching,,,,,,
12,,11,attribution,⟶,11,11,S,12,12,N,,11,attribution,⟶,11,11,S,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,12,condition,⟵,11,12,S,10,10,N,,10|12,sameunit,⟷,10,10,N,11,12,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
14,,7|9,contrast,⟷,7,8,N,9,12,N,,7,concession,⟶,7,8,S,9,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
