ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,background,⟶,1,1,S,2,3,N,,1,background,⟶,1,1,S,2,4,N,,Completely identical CS,✓,✓,✓,✗,NRC,
2,,2,antithesis,⟶,2,2,S,3,3,N,,2|3,contrast,⟷,2,2,N,3,3,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
3,,4,result,⟵,4,4,S,1,3,N,,4,reason,⟵,4,4,S,2,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
4,,5-7,evidence,⟶,5,8,S,9,10,N,,,,,,,,,,,,No matching,,,,,,
5,,,,,,,,,,,,1-4,background,⟶,1,4,S,5,8,N,,No matching,,,,,,
6,,6,antithesis,⟶,6,6,S,7,7,N,,6|7,contrast,⟷,6,6,N,7,7,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
7,,7,cause,⟵,6,7,S,5,5,N,,6-7,cause,⟵,6,7,S,5,5,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
8,,8,elaboration,⟵,8,8,S,5,7,N,,8,evaluation-s,⟵,8,8,S,5,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,10,antithesis,⟵,10,10,S,9,9,N,,10,antithesis,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,12,evidence,⟵,12,12,S,11,11,N,,12,reason,⟵,12,14,S,9,11,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
11,,13,elaboration,⟵,13,14,S,11,12,N,,13,reason,⟵,13,14,S,12,12,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
12,,14,e-elaboration,⟵,14,14,S,13,13,N,,14,elaboration,⟵,14,14,S,13,13,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
13,,15,summary,⟵,15,17,S,1,14,N,,15,result,⟵,15,17,S,1,14,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
14,,16-17,reason,⟵,16,17,S,15,15,N,,16-17,reason,⟵,16,17,S,15,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,1-3|9-10,joint,⟷,1,4,N,5,10,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,11,elaboration,⟵,11,11,S,9,10,N,,No matching,,,,,,
17,,1-10|11-12,joint,⟷,1,10,N,11,14,N,,,,,,,,,,,,No matching,,,,,,
18,,,,,,,,,,,,5-8|9-11,list,⟷,1,8,N,9,14,N,,No matching,,,,,,
19,,16|17,conjunction,⟷,16,16,N,17,17,N,,16|17,conjunction,⟷,16,16,N,17,17,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
