ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,evaluation-s,⟶,1,1,S,2,12,N,,1,evaluation-s,⟶,1,1,S,2,2,N,,Completely identical CS,✓,✓,✓,✗,NRC,
2,,3,elaboration,⟵,3,12,S,2,2,N,,3,elaboration,⟵,3,3,S,1,2,N,,Completely identical CS,✓,✓,✗,✗,NR,
3,,4-8,reason,⟵,4,12,S,3,3,N,,4-8,elaboration,⟵,4,8,S,1,3,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
4,,5,e-elaboration,⟵,5,5,S,4,4,N,,5,elaboration,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
5,,7,concession,⟶,7,7,S,8,8,N,,7,concession,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,8,e-elaboration,⟵,7,8,S,6,6,N,,8,elaboration,⟵,7,8,S,6,6,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,9,preparation,⟶,9,9,S,10,11,N,,9,preparation,⟶,9,9,S,10,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,9-11,reason-n,⟵,9,12,S,4,8,N,,9-11,interpretation,⟵,9,12,S,1,8,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
9,,10,condition,⟶,10,10,S,11,11,N,,10,condition,⟶,10,10,S,11,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,12,elaboration,⟵,12,12,S,9,11,N,,12,interpretation,⟵,12,12,S,9,11,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,4|6,list,⟷,4,5,N,6,8,N,,4|6,list,⟷,4,5,N,6,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
