ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,3-6,background,⟶,3,6,S,7,8,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,7-9,evaluation-s,⟵,7,10,S,6,6,N,,No matching,,,,,,
3,,3-12,interpretation,⟵,3,12,S,1,2,N,,,,,,,,,,,,No matching,,,,,,
4,,,,,,,,,,,,3,interpretation,⟵,3,3,S,1,2,N,,No matching,,,,,,
5,,6,evidence,⟵,6,6,S,5,5,N,,6,circumstance,⟵,6,10,S,1,5,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
6,,7,condition,⟶,7,7,S,8,8,N,,7,condition,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,10,reason-n,⟵,10,12,S,9,9,N,,10,reason-n,⟵,10,10,S,7,9,N,,Completely identical CS,✓,✓,✗,✗,NR,
8,,11,evidence,⟵,11,12,S,10,10,N,,11,elaboration,⟵,11,12,S,1,10,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
9,,12,e-elaboration,⟵,12,12,S,11,11,N,,12,e-elaboration,⟵,12,12,S,11,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,1|2,list,⟷,1,1,N,2,2,N,,2,elaboration,⟵,2,2,S,1,1,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
11,,3|4,contrast,⟷,3,3,N,4,4,N,,4,evaluation-s,⟵,4,4,S,1,3,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
12,,3-4|5,list,⟷,3,4,N,5,6,N,,5,interpretation,⟵,5,5,S,1,4,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
13,,7-8|9,contrast,⟷,3,8,N,9,12,N,,9,circumstance,⟵,9,9,S,7,8,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
