ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,preparation,⟶,2,2,S,3,13,N,,2,preparation,⟶,2,2,S,3,9,N,,Completely identical CS,✓,✓,✓,✗,NRC,
2,,3-13,evidence,⟵,2,13,S,1,1,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,1,background,⟶,1,9,S,10,13,N,,No matching,,,,,,
4,,4,e-elaboration,⟵,4,4,S,3,3,N,,4,e-elaboration,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,5-13,elaboration,⟵,5,13,S,3,4,N,,,,,,,,,,,,No matching,,,,,,
6,,,,,,,,,,,,3-9,elaboration,⟵,2,9,S,1,1,N,,No matching,,,,,,
7,,6,e-elaboration,⟵,6,6,S,5,5,N,,6,e-elaboration,⟵,6,6,S,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,11,antithesis,⟵,11,13,S,10,10,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,5-7,e-elaboration,⟵,5,7,S,3,4,N,,No matching,,,,,,
10,,12,e-elaboration,⟵,12,13,S,11,11,N,,12,e-elaboration,⟵,12,13,S,10,11,N,,Completely identical CS,✓,✓,✓,✗,NRC,
11,,13,e-elaboration,⟵,13,13,S,12,12,N,,13,e-elaboration,⟵,13,13,S,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,5|7,sameunit,⟷,5,6,N,7,7,N,,5|7,sameunit,⟷,5,6,N,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,5-7|8-9|10,list,⟷,5,7,N,8,13,N,,8-9,e-elaboration,⟵,8,9,S,3,7,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
14,,8|9,sequence,⟷,8,8,N,9,9,N,,8|9,sequence,⟷,8,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,8-9|10,list,⟷,8,9,N,10,13,N,,10,evidence,⟶,10,10,S,11,11,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
