ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,evaluation-n,⟶,1,2,S,3,4,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,4,evaluation-s,⟵,4,4,S,1,3,N,,No matching,,,,,,
3,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,e-elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,3,reason-n,⟶,3,3,S,4,4,N,,3,evaluation-s,⟵,3,3,S,1,2,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
5,,3-4,background,⟶,1,4,S,5,12,N,,1-3,background,⟶,1,4,S,5,12,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
6,,6,evaluation-n,⟶,6,6,S,7,8,N,,6,elaboration,⟵,6,6,S,5,5,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
7,,7,condition,⟶,7,7,S,8,8,N,,7,condition,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,7-8,elaboration,⟵,6,8,S,5,5,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,8,elaboration,⟵,7,8,S,5,6,N,,No matching,,,,,,
10,,9,cause,⟶,9,9,S,10,10,N,,9,evaluation-n,⟶,9,9,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,11,elaboration,⟵,11,12,S,9,10,N,,11,elaboration,⟵,11,12,S,9,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,12,e-elaboration,⟵,12,12,S,11,11,N,,12,elaboration,⟵,12,12,S,11,11,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
13,,5|9-10,contrast,⟷,5,8,N,9,12,N,,5-6,concession,⟶,5,8,S,9,12,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
