ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-2,antithesis,⟶,1,2,S,3,3,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,12-19,evidence,⟵,12,19,S,3,11,N,,No matching,,,,,,
3,,1-3,antithesis,⟶,1,6,S,7,8,N,,,,,,,,,,,,No matching,,,,,,
4,,,,,,,,,,,,2,background,⟶,1,2,S,3,22,N,,No matching,,,,,,
5,,4-5,antithesis,⟶,4,5,S,6,6,N,,4-5,concession,⟶,4,5,S,6,6,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
6,,6,summary,⟵,4,6,S,1,3,N,,6,e-elaboration,⟵,4,6,S,3,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
7,,7,preparation,⟶,7,7,S,8,8,N,,7,preparation,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,7-8,interpretation,⟶,1,8,S,9,19,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,3,concession,⟶,3,6,S,7,11,N,,No matching,,,,,,
10,,9,condition,⟶,9,9,S,10,10,N,,9,reason,⟶,9,10,S,11,11,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
11,,11,cause,⟵,11,11,S,9,10,N,,,,,,,,,,,,No matching,,,,,,
12,,,,,,,,,,,,3-11,reason,⟶,3,19,S,20,22,N,,No matching,,,,,,
13,,12,elaboration,⟵,12,15,S,9,11,N,,12,purpose,⟶,12,12,S,13,15,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
14,,13-15,purpose,⟵,13,15,S,12,12,N,,,,,,,,,,,,No matching,,,,,,
15,,,,,,,,,,,,8,reason-n,⟶,7,8,S,9,11,N,,No matching,,,,,,
16,,17,elaboration,⟵,17,17,S,16,16,N,,17|18-19,list,⟷,17,17,N,18,19,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
17,,20,preparation,⟶,20,20,S,21,22,N,,20,condition,⟶,20,20,S,21,22,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
18,,21,reason-n,⟶,21,21,S,22,22,N,,21,cause,⟶,21,21,S,22,22,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
19,,21-22,interpretation,⟵,20,22,S,1,19,N,,,,,,,,,,,,No matching,,,,,,
20,,,,,,,,,,,,10,condition,⟵,10,10,S,9,9,N,,No matching,,,,,,
21,,1|2,contrast,⟷,1,1,N,2,2,N,,1,antithesis,⟶,1,1,S,2,2,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
22,,4|5,conjunction,⟷,4,4,N,5,5,N,,4|5,conjunction,⟷,4,4,N,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
23,,9-11|16-19,joint,⟷,9,15,N,16,19,N,,,,,,,,,,,,No matching,,,,,,
24,,,,,,,,,,,,12-15|17-19,list,⟷,12,16,N,17,19,N,,No matching,,,,,,
25,,13|14|15,list,⟷,13,13,N,14,15,N,,13|14|15,list,⟷,13,13,N,14,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
26,,14|15,list,⟷,14,14,N,15,15,N,,14|15,list,⟷,14,14,N,15,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
27,,16|18-19,joint,⟷,16,17,N,18,19,N,,16,elaboration,⟵,16,16,S,12,15,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
28,,18|19,conjunction,⟷,18,18,N,19,19,N,,18|19,conjunction,⟷,18,18,N,19,19,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
