ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,circumstance,⟶,1,1,S,2,4,N,,1,background,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
2,,1-4,reason,⟶,1,5,S,6,7,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,1-5,cause,⟶,1,5,S,6,15,N,,No matching,,,,,,
4,,3,elaboration,⟵,3,3,S,2,2,N,,3,elaboration,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,5,interpretation,⟵,5,5,S,1,4,N,,5,solutionhood,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
6,,6-7,background,⟶,1,7,S,8,13,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,8-13,circumstance,⟵,8,15,S,7,7,N,,No matching,,,,,,
8,,9-10,result,⟵,9,10,S,8,8,N,,8|9|10,sequence,⟷,8,8,N,9,10,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
9,,11,cause,⟵,11,11,S,8,10,N,,11,reason,⟵,11,11,S,8,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
10,,13,reason,⟵,13,13,S,12,12,N,,13,evaluation-s,⟵,13,13,S,12,12,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,14,interpretation,⟵,14,15,S,1,13,N,,14,interpretation,⟵,14,15,S,8,13,N,,Completely identical CS,✓,✓,✓,✗,NRC,
12,,15,reason,⟵,15,15,S,14,14,N,,15,reason,⟵,15,15,S,14,14,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,2|4,contrast,⟷,2,3,N,4,4,N,,2-3|4,contrast,⟷,1,3,N,4,5,N,,Partially identical CS,✓,✓,✗,✗,NR,
14,,6|7,list,⟷,6,6,N,7,7,N,,7,elaboration,⟵,7,15,S,6,6,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
15,,8-10|12,contrast,⟷,8,11,N,12,13,N,,12,interpretation,⟵,12,13,S,8,11,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
16,,9|10,sequence,⟷,9,9,N,10,10,N,,9|10,sequence,⟷,9,9,N,10,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
